Date,Year,Month,State,Production,Status Data
1/12/2015,2015,Dec,Johor,694,f
1/1/2015,2015,Jan,Kedah & Perlis,1803,f
1/2/2015,2015,Feb,Kedah & Perlis,1244,f
1/3/2015,2015,Mar,Kedah & Perlis,826,f
1/4/2015,2015,Apr,Kedah & Perlis,744,f
1/5/2015,2015,May,Kedah & Perlis,1068,f
1/6/2015,2015,Jun,Kedah & Perlis,1348,f
1/7/2015,2015,Jul,Kedah & Perlis,997,f
1/8/2015,2015,Aug,Kedah & Perlis,1372,f
1/9/2015,2015,Sep,Kedah & Perlis,1309,f
1/10/2015,2015,Oct,Kedah & Perlis,1498,f
1/11/2015,2015,Nov,Kedah & Perlis,1282,f
1/12/2015,2015,Dec,Kedah & Perlis,1965,f
1/1/2015,2015,Jan,Kelantan & Terengganu,243,f
1/2/2015,2015,Feb,Kelantan & Terengganu,587,f
1/3/2015,2015,Mar,Kelantan & Terengganu,484,f
1/4/2015,2015,Apr,Kelantan & Terengganu,310,f
1/5/2015,2015,May,Kelantan & Terengganu,326,f
1/6/2015,2015,Jun,Kelantan & Terengganu,520,f
1/7/2015,2015,Jul,Kelantan & Terengganu,481,f
1/8/2015,2015,Aug,Kelantan & Terengganu,606,f
1/9/2015,2015,Sep,Kelantan & Terengganu,645,f
1/10/2015,2015,Oct,Kelantan & Terengganu,678,f
1/11/2015,2015,Nov,Kelantan & Terengganu,492,f
1/12/2015,2015,Dec,Kelantan & Terengganu,596,f
1/1/2015,2015,Jan,Melaka & Negeri Sembilan,1205,f
1/2/2015,2015,Feb,Melaka & Negeri Sembilan,1182,f
1/3/2015,2015,Mar,Melaka & Negeri Sembilan,736,f
1/4/2015,2015,Apr,Melaka & Negeri Sembilan,452,f
1/5/2015,2015,May,Melaka & Negeri Sembilan,612,f
1/6/2015,2015,Jun,Melaka & Negeri Sembilan,1006,f
1/7/2015,2015,Jul,Melaka & Negeri Sembilan,1055,f
1/8/2015,2015,Aug,Melaka & Negeri Sembilan,1047,f
1/9/2015,2015,Sep,Melaka & Negeri Sembilan,1158,f
1/10/2015,2015,Oct,Melaka & Negeri Sembilan,1272,f
1/11/2015,2015,Nov,Melaka & Negeri Sembilan,567,f
1/12/2015,2015,Dec,Melaka & Negeri Sembilan,1107,f
1/1/2015,2015,Jan,Pahang,711,f
1/2/2015,2015,Feb,Pahang,794,f
1/3/2015,2015,Mar,Pahang,566,f
1/4/2015,2015,Apr,Pahang,297,f
1/5/2015,2015,May,Pahang,362,f
1/6/2015,2015,Jun,Pahang,597,f
1/7/2015,2015,Jul,Pahang,710,f
1/8/2015,2015,Aug,Pahang,664,f
1/9/2015,2015,Sep,Pahang,766,f
1/10/2015,2015,Oct,Pahang,733,f
1/11/2015,2015,Nov,Pahang,512,f
1/12/2015,2015,Dec,Pahang,781,f
1/1/2015,2015,Jan,Perak,793,f
1/2/2015,2015,Feb,Perak,737,f
1/3/2015,2015,Mar,Perak,372,f
1/4/2015,2015,Apr,Perak,303,f
1/5/2015,2015,May,Perak,402,f
1/6/2015,2015,Jun,Perak,539,f
1/7/2015,2015,Jul,Perak,641,f
1/8/2015,2015,Aug,Perak,629,f
1/9/2015,2015,Sep,Perak,663,f
1/10/2015,2015,Oct,Perak,608,f
1/11/2015,2015,Nov,Perak,405,f
1/12/2015,2015,Dec,Perak,669,f
1/1/2015,2015,Jan,Selangor,266,f
1/2/2015,2015,Feb,Selangor,243,f
1/3/2015,2015,Mar,Selangor,194,f
1/4/2015,2015,Apr,Selangor,158,f
1/5/2015,2015,May,Selangor,203,f
1/6/2015,2015,Jun,Selangor,200,f
1/7/2015,2015,Jul,Selangor,253,f
1/8/2015,2015,Aug,Selangor,232,f
1/9/2015,2015,Sep,Selangor,233,f
1/10/2015,2015,Oct,Selangor,220,f
1/11/2015,2015,Nov,Selangor,164,f
1/12/2015,2015,Dec,Selangor,205,f
1/1/2015,2015,Jan,Sabah & Sarawak,6,f
1/2/2015,2015,Feb,Sabah & Sarawak,42,f
1/3/2015,2015,Mar,Sabah & Sarawak,46,f
1/4/2015,2015,Apr,Sabah & Sarawak,8,f
1/5/2015,2015,May,Sabah & Sarawak,9,f
1/6/2015,2015,Jun,Sabah & Sarawak,9,f
1/7/2015,2015,Jul,Sabah & Sarawak,1,f
1/8/2015,2015,Aug,Sabah & Sarawak,1,f
1/9/2015,2015,Sep,Sabah & Sarawak,5,f
1/10/2015,2015,Oct,Sabah & Sarawak,5,f
1/11/2015,2015,Nov,Sabah & Sarawak,4,f
1/12/2015,2015,Dec,Sabah & Sarawak,4,f
1/1/2016,2016,Jan,Johor,759,f
1/2/2016,2016,Feb,Johor,576,f
1/3/2016,2016,Mar,Johor,599,f
1/4/2016,2016,Apr,Johor,335,f
1/5/2016,2016,May,Johor,256,f
1/6/2016,2016,Jun,Johor,384,f
1/7/2016,2016,Jul,Johor,548,f
1/8/2016,2016,Aug,Johor,709,f
1/9/2016,2016,Sep,Johor,683,f
1/10/2016,2016,Oct,Johor,678,f
1/11/2016,2016,Nov,Johor,601,f
1/12/2016,2016,Dec,Johor,635,f
1/1/2016,2016,Jan,Kedah & Perlis,1585,f
1/2/2016,2016,Feb,Kedah & Perlis,994,f
1/3/2016,2016,Mar,Kedah & Perlis,845,f
1/4/2016,2016,Apr,Kedah & Perlis,826,f
1/5/2016,2016,May,Kedah & Perlis,893,f
1/6/2016,2016,Jun,Kedah & Perlis,1323,f
1/7/2016,2016,Jul,Kedah & Perlis,1127,f
1/8/2016,2016,Aug,Kedah & Perlis,1488,f
1/9/2016,2016,Sep,Kedah & Perlis,1190,f
1/10/2016,2016,Oct,Kedah & Perlis,1269,f
1/11/2016,2016,Nov,Kedah & Perlis,1290,f
1/12/2016,2016,Dec,Kedah & Perlis,1453,f
1/1/2016,2016,Jan,Kelantan & Terengganu,901,f
1/2/2016,2016,Feb,Kelantan & Terengganu,714,f
1/3/2016,2016,Mar,Kelantan & Terengganu,757,f
1/4/2016,2016,Apr,Kelantan & Terengganu,350,f
1/5/2016,2016,May,Kelantan & Terengganu,332,f
1/6/2016,2016,Jun,Kelantan & Terengganu,542,f
1/7/2016,2016,Jul,Kelantan & Terengganu,635,f
1/8/2016,2016,Aug,Kelantan & Terengganu,972,f
1/9/2016,2016,Sep,Kelantan & Terengganu,778,f
1/10/2016,2016,Oct,Kelantan & Terengganu,981,f
1/11/2016,2016,Nov,Kelantan & Terengganu,679,f
1/12/2016,2016,Dec,Kelantan & Terengganu,611,f
1/1/2016,2016,Jan,Melaka & Negeri Sembilan,996,f
1/2/2016,2016,Feb,Melaka & Negeri Sembilan,789,f
1/3/2016,2016,Mar,Melaka & Negeri Sembilan,751,f
1/4/2016,2016,Apr,Melaka & Negeri Sembilan,425,f
1/5/2016,2016,May,Melaka & Negeri Sembilan,409,f
1/6/2016,2016,Jun,Melaka & Negeri Sembilan,793,f
1/7/2016,2016,Jul,Melaka & Negeri Sembilan,749,f
1/8/2016,2016,Aug,Melaka & Negeri Sembilan,985,f
1/9/2016,2016,Sep,Melaka & Negeri Sembilan,956,f
1/10/2016,2016,Oct,Melaka & Negeri Sembilan,883,f
1/11/2016,2016,Nov,Melaka & Negeri Sembilan,610,f
1/12/2016,2016,Dec,Melaka & Negeri Sembilan,760,f
1/1/2016,2016,Jan,Pahang,771,f
1/2/2016,2016,Feb,Pahang,595,f
1/3/2016,2016,Mar,Pahang,478,f
1/4/2016,2016,Apr,Pahang,268,f
1/5/2016,2016,May,Pahang,330,f
1/6/2016,2016,Jun,Pahang,525,f
1/7/2016,2016,Jul,Pahang,639,f
1/8/2016,2016,Aug,Pahang,690,f
1/9/2016,2016,Sep,Pahang,607,f
1/10/2016,2016,Oct,Pahang,588,f
1/11/2016,2016,Nov,Pahang,494,f
1/12/2016,2016,Dec,Pahang,565,f
1/1/2016,2016,Jan,Perak,570,f
1/2/2016,2016,Feb,Perak,328,f
1/3/2016,2016,Mar,Perak,239,f
1/4/2016,2016,Apr,Perak,193,f
1/5/2016,2016,May,Perak,261,f
1/6/2016,2016,Jun,Perak,442,f
1/7/2016,2016,Jul,Perak,496,f
1/8/2016,2016,Aug,Perak,593,f
1/9/2016,2016,Sep,Perak,540,f
1/10/2016,2016,Oct,Perak,549,f
1/11/2016,2016,Nov,Perak,531,f
1/12/2016,2016,Dec,Perak,602,f
1/1/2016,2016,Jan,Selangor,232,f
1/2/2016,2016,Feb,Selangor,168,f
1/3/2016,2016,Mar,Selangor,128,f
1/4/2016,2016,Apr,Selangor,120,f
1/5/2016,2016,May,Selangor,134,f
1/6/2016,2016,Jun,Selangor,219,f
1/7/2016,2016,Jul,Selangor,241,f
1/8/2016,2016,Aug,Selangor,330,f
1/9/2016,2016,Sep,Selangor,276,f
1/10/2016,2016,Oct,Selangor,266,f
1/11/2016,2016,Nov,Selangor,251,f
1/12/2016,2016,Dec,Selangor,319,f
1/1/2016,2016,Jan,Sabah & Sarawak,6,f
1/2/2016,2016,Feb,Sabah & Sarawak,8,f
1/3/2016,2016,Mar,Sabah & Sarawak,10,f
1/4/2016,2016,Apr,Sabah & Sarawak,8,f
1/5/2016,2016,May,Sabah & Sarawak,6,f
1/6/2016,2016,Jun,Sabah & Sarawak,1,f
1/7/2016,2016,Jul,Sabah & Sarawak,3,f
1/8/2016,2016,Aug,Sabah & Sarawak,1,f
1/9/2016,2016,Sep,Sabah & Sarawak,3,f
1/10/2016,2016,Oct,Sabah & Sarawak,4,f
1/11/2016,2016,Nov,Sabah & Sarawak,3,f
1/12/2016,2016,Dec,Sabah & Sarawak,2,f
1/1/2017,2017,Jan,Johor,610,f
1/2/2017,2017,Feb,Johor,617,f
1/3/2017,2017,Mar,Johor,618,f
1/4/2017,2017,Apr,Johor,521,f
1/5/2017,2017,May,Johor,391,f
1/6/2017,2017,Jun,Johor,386,f
1/7/2017,2017,Jul,Johor,540,f
1/8/2017,2017,Aug,Johor,478,f
1/9/2017,2017,Sep,Johor,561,f
1/10/2017,2017,Oct,Johor,543,f
1/11/2017,2017,Nov,Johor,521,f
1/12/2017,2017,Dec,Johor,574,f
1/1/2017,2017,Jan,Kedah & Perlis,1249,f
1/2/2017,2017,Feb,Kedah & Perlis,1435,f
1/3/2017,2017,Mar,Kedah & Perlis,701,f
1/4/2017,2017,Apr,Kedah & Perlis,424,f
1/5/2017,2017,May,Kedah & Perlis,863,f
1/6/2017,2017,Jun,Kedah & Perlis,1089,f
1/7/2017,2017,Jul,Kedah & Perlis,1415,f
1/8/2017,2017,Aug,Kedah & Perlis,988,f
1/9/2017,2017,Sep,Kedah & Perlis,847,f
1/10/2017,2017,Oct,Kedah & Perlis,1540,f
1/11/2017,2017,Nov,Kedah & Perlis,977,f
1/12/2017,2017,Dec,Kedah & Perlis,1618,f
1/1/2017,2017,Jan,Kelantan & Terengganu,428,f
1/2/2017,2017,Feb,Kelantan & Terengganu,881,f
1/3/2017,2017,Mar,Kelantan & Terengganu,928,f
1/4/2017,2017,Apr,Kelantan & Terengganu,447,f
1/5/2017,2017,May,Kelantan & Terengganu,408,f
1/6/2017,2017,Jun,Kelantan & Terengganu,387,f
1/7/2017,2017,Jul,Kelantan & Terengganu,646,f
1/8/2017,2017,Aug,Kelantan & Terengganu,784,f
1/9/2017,2017,Sep,Kelantan & Terengganu,594,f
1/10/2017,2017,Oct,Kelantan & Terengganu,841,f
1/11/2017,2017,Nov,Kelantan & Terengganu,627,f
1/12/2017,2017,Dec,Kelantan & Terengganu,676,f
1/1/2017,2017,Jan,Melaka & Negeri Sembilan,664,f
1/2/2017,2017,Feb,Melaka & Negeri Sembilan,825,f
1/3/2017,2017,Mar,Melaka & Negeri Sembilan,792,f
1/4/2017,2017,Apr,Melaka & Negeri Sembilan,564,f
1/5/2017,2017,May,Melaka & Negeri Sembilan,572,f
1/6/2017,2017,Jun,Melaka & Negeri Sembilan,637,f
1/7/2017,2017,Jul,Melaka & Negeri Sembilan,685,f
1/8/2017,2017,Aug,Melaka & Negeri Sembilan,511,f
1/9/2017,2017,Sep,Melaka & Negeri Sembilan,652,f
